Sampling Event ID,Capture Year,Capture Date,Round,Site,Patch,Height,Bowl Position,Bowl Color,Bowl Size,Bowl Status,Specimen ID,Family,Genus,Species,Sex,Number,Pinned
45,2018,6.04,R1,RIS,RIS-N,High,P5,White,3.25oz,Retrieved,1807,Halictidae,Augochlorella,aurata,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,High,P5,White,3.25oz,Retrieved,1808,Apidae,Ceratina,dupla,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,High,P5,White,3.25oz,Retrieved,1809,Halictidae,Agapostemon,virescens,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,Low,P5,White,3.25oz,Retrieved,1810,Halictidae,Augochlorella,aurata,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,Low,P5,White,3.25oz,Retrieved,1811,Halictidae,Augochlorella,aurata,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,Low,P5,White,3.25oz,Retrieved,1812,Halictidae,Augochlorella,aurata,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,Low,P5,White,3.25oz,Retrieved,1813,Halictidae,Agapostemon,virescens,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,High,P6,Yellow,3.25oz,Retrieved,1814,Halictidae,Lasioglossum,Dialictus,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,High,P6,Yellow,3.25oz,Retrieved,1815,Halictidae,Augochlorella,aurata,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,High,P6,Yellow,3.25oz,Retrieved,1816,Halictidae,Augochlorella,aurata,F,1,Y
45,2018,6.04,R1,RIS,RIS-N,Low,P6,Yellow,3.25oz,Retrieved,0,NA,X,x,X,0,NA
46,2018,6.04,R1,RIS,RIS-C,High,P1,Yellow,3.25oz,Retrieved,1817,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P1,Yellow,3.25oz,Retrieved,1818,Halictidae,Augochlorella,aurata,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P1,Yellow,3.25oz,Retrieved,1819,Apidae,Ceratina,dupla,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P1,Yellow,3.25oz,Retrieved,1820,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P1,Yellow,3.25oz,Retrieved,1821,Halictidae,Augochlorella,aurata,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P1,Yellow,3.25oz,Retrieved,1822,Apidae,Ceratina,dupla,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P1,Yellow,3.25oz,Retrieved,1823,Apidae,Ceratina,dupla,M,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P1,Yellow,3.25oz,Retrieved,1824,Megachilidae,Ashmeadiella,bucconis,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P1,Yellow,3.25oz,Retrieved,1825,Megachilidae,Ashmeadiella,bucconis,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1826,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1827,Halictidae,Augochlorella,aurata,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1828,Halictidae,Augochlorella,aurata,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1829,Apidae,Ceratina,dupla,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1830,Apidae,Ceratina,dupla,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1831,Apidae,Ceratina,dupla,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P2,White,3.25oz,Retrieved,1832,Apidae,Ceratina,dupla,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,Low,P2,White,3.25oz,Retrieved,1833,Unknown,Unknown,sp,M,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1834,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1835,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1836,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1837,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1838,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1839,Halictidae,Lasioglossum,Dialictus,F,1,Y
46,2018,6.04,R1,RIS,RIS-C,High,P3,Blue,3.25oz,Retrieved,1840,Halictidae,Lasioglossum,Dialictus,F,1,Y
